text,label
NASA confirms discovery of water on Mars.,Real News
Scientists detect new exoplanet in nearby galaxy.,Real News
WHO announces new vaccine breakthrough.,Real News
Aliens officially land in New York City.,Fake News
Government hiding secret time travel machine.,Fake News
Drinking bleach cures all diseases.,Fake News
Moon made of cheese confirms scientist.,Fake News
Global warming caused by giant space mirror.,Fake News
text,label
NASA confirms discovery of water on Mars.,Real News
WHO announces new vaccine breakthrough.,Real News
Scientists detect new exoplanet.,Real News
New climate report warns of rising temperatures.,Real News
Apple releases new AI chip.,Real News
Researchers develop cancer detection method.,Real News
UN signs global climate agreement.,Real News
New species discovered in Amazon rainforest.,Real News
Government announces education reform.,Real News
SpaceX launches new satellite.,Real News
Aliens officially land in New York.,Fake News
Government hiding secret time machine.,Fake News
Drinking bleach cures diseases.,Fake News
Moon made of cheese confirmed.,Fake News
Earth is flat NASA admits.,Fake News
Secret reptilian rulers exposed.,Fake News
COVID vaccine contains microchips.,Fake News
5G towers control human brains.,Fake News
Scientists clone dinosaurs secretly.,Fake News
Time traveler predicts world end.,Fake News
